cell_line,psi_true,ci_t_lo,ci_t_hi,psi_rot,ci_r_lo,ci_r_hi,psi_diff,n_genes,p_two_sided,q_fdr
ACH-002709,1.3913888070922098,-86.32916771164335,45.516516358400885,-4.62045625074725,-35.0854806800416,4.761027436154564,6.01184505783946,150,1.9626722415050004,1.0
ACH-003184,9.516335638371428,1.7357410816269518,16.261498029764752,4.057076312235953,-1.760321337587283,9.219812871881087,5.459259326135475,150,0.989228437220569,1.0
ACH-000493,-0.21503046776638057,-0.21503046776638057,-0.21503046776638057,-5.615798546740179,-5.615798546740179,-5.615798546740179,5.400768078973798,150,,1.0
ACH-000900,9.494854499128845,-8.456610467147687,29.484622598668718,5.83186692063674,-0.980063989659075,13.85721868498235,3.662987578492105,150,1.8573126987967297,1.0
ACH-001715,18.831807099381155,18.831807099381155,18.831807099381155,15.367994827268138,15.367994827268138,15.367994827268138,3.4638122721130173,150,,1.0
ACH-000183,0.8115686646585827,-33.08954562107891,14.58484113784592,-2.3000456104101543,-36.27241502949001,17.55996664993228,3.111614275068737,150,1.9713284018504047,1.0
ACH-000601,2.8943609297221307,2.8943609297221307,2.8943609297221307,-0.19783433584755641,-0.19783433584755641,-0.19783433584755641,3.092195265569687,150,,1.0
ACH-001502,4.045438355896628,-14.713445352442218,17.93957517389418,1.2098595153203762,-9.362577105984855,15.306187175247558,2.835578840576251,150,1.9261914809021496,1.0
ACH-001619,-7.6838437748032575,-30.46690231833917,59.72751540433822,-10.271564370097721,-30.687712917687016,15.03670194542949,2.5877205952944635,150,1.9888911604194839,1.0
ACH-002711,-9.551935290227238,-91.86236050710845,14.01166493674248,-11.52623232700048,-25.07417334658255,8.509081887872604,1.9742970367732422,150,1.9938499854166687,1.0
ACH-000696,-0.3650552571869969,-19.280298913821465,6.578490438274908,0.8966031245649664,-3.96877114407269,7.342665274712764,-1.2616583817519633,150,1.9649040795417916,1.0
ACH-002142,0.0,-7.187740964397118,43.079484717338964,2.615277193874337,-3.4033117914378,11.049402655513191,-2.615277193874337,150,1.9504408153690656,1.0
