cell_line,r_before,r_after,abs_r_before,abs_r_after,delta_abs_corr,n_genes,condition
ACH-002524,0.11667001468344569,0.11667001468344569,0.11667001468344569,0.11667001468344569,0.0,21,TRUE
ACH-002530,-0.2237952205347133,-0.24162980109146423,0.2237952205347133,0.24162980109146423,-0.01783458055675094,23,TRUE
ACH-002650,0.052879858121180776,0.052879858121180776,0.052879858121180776,0.052879858121180776,0.0,25,TRUE
ACH-002688,0.1847758887338478,0.1847758887338478,0.1847758887338478,0.1847758887338478,0.0,21,TRUE
ACH-002706,0.05904144904782047,0.05904144904782047,0.05904144904782047,0.05904144904782047,0.0,22,TRUE
ACH-002800,0.06892823891191488,0.07099174600698824,0.06892823891191488,0.07099174600698824,-0.002063507095073358,122,TRUE
ACH-000001,0.24261837505005077,0.24261837505005077,0.24261837505005077,0.24261837505005077,0.0,25,ROTATE
ACH-000005,-0.054581489106383614,-0.05620358624510872,0.054581489106383614,0.05620358624510872,-0.0016220971387251037,119,ROTATE
ACH-000093,0.01729829967987062,0.015429367780517412,0.01729829967987062,0.015429367780517412,0.001868931899353209,139,ROTATE
ACH-000101,-0.14715533108689163,-0.14700484986576492,0.14715533108689163,0.14700484986576492,0.00015048122112670814,140,ROTATE
ACH-000111,-0.11480779466786134,-0.11480779466786134,0.11480779466786134,0.11480779466786134,0.0,24,ROTATE
ACH-000144,-0.1438503389621541,-0.1438503389621541,0.1438503389621541,0.1438503389621541,0.0,24,ROTATE
ACH-000145,0.07676543035604247,0.07722324532254303,0.07676543035604247,0.07722324532254303,-0.00045781496650056097,131,ROTATE
ACH-000153,0.11070653761954785,0.11070653761954785,0.11070653761954785,0.11070653761954785,0.0,26,ROTATE
ACH-000207,-0.22360014585434157,-0.22360014585434157,0.22360014585434157,0.22360014585434157,0.0,22,ROTATE
ACH-000223,0.36302145263613383,0.36302145263613383,0.36302145263613383,0.36302145263613383,0.0,20,ROTATE
ACH-000246,-0.15193208326690008,-0.15296532791596962,0.15193208326690008,0.15296532791596962,-0.0010332446490695368,115,ROTATE
ACH-000259,0.033455320580190025,0.033455320580190025,0.033455320580190025,0.033455320580190025,0.0,22,ROTATE
ACH-000272,-0.10319522479759077,-0.1047249254283932,0.10319522479759077,0.1047249254283932,-0.001529700630802433,114,ROTATE
ACH-000318,0.07046223069697306,0.08246403922228167,0.07046223069697306,0.08246403922228167,-0.012001808525308605,25,ROTATE
ACH-000325,0.2596937453371216,0.2596937453371216,0.2596937453371216,0.2596937453371216,0.0,20,ROTATE
ACH-000344,0.029924651543092463,0.03376818476881076,0.029924651543092463,0.03376818476881076,-0.0038435332257182944,29,ROTATE
ACH-000354,0.30900342100742884,0.30900342100742884,0.30900342100742884,0.30900342100742884,0.0,22,ROTATE
ACH-000374,0.15722064362341445,0.15722064362341445,0.15722064362341445,0.15722064362341445,0.0,20,ROTATE
ACH-000408,-0.09723535890309329,-0.09723535890309329,0.09723535890309329,0.09723535890309329,0.0,27,ROTATE
ACH-000452,-0.20699691906478535,-0.2008842583675702,0.20699691906478535,0.2008842583675702,0.006112660697215139,28,ROTATE
ACH-000460,-0.16742547817806927,-0.16742547817806927,0.16742547817806927,0.16742547817806927,0.0,26,ROTATE
ACH-000488,0.027087200140763393,0.027087200140763393,0.027087200140763393,0.027087200140763393,0.0,22,ROTATE
ACH-000503,0.2791320824505506,0.2791320824505506,0.2791320824505506,0.2791320824505506,0.0,27,ROTATE
ACH-000507,0.2325425862658228,0.2272575274870541,0.2325425862658228,0.2272575274870541,0.0052850587787686976,20,ROTATE
ACH-000517,-0.07755699799874229,-0.07755699799874229,0.07755699799874229,0.07755699799874229,0.0,24,ROTATE
ACH-000524,0.48143337783344015,0.48143337783344015,0.48143337783344015,0.48143337783344015,0.0,28,ROTATE
ACH-000528,0.5048652868007238,0.49226334516451237,0.5048652868007238,0.49226334516451237,0.012601941636211478,26,ROTATE
ACH-000532,-0.16735039766461485,-0.16735039766461485,0.16735039766461485,0.16735039766461485,0.0,21,ROTATE
ACH-000605,0.23883114662874602,0.23883114662874602,0.23883114662874602,0.23883114662874602,0.0,23,ROTATE
ACH-000639,-0.4814148922360746,-0.4814148922360746,0.4814148922360746,0.4814148922360746,0.0,23,ROTATE
ACH-000647,-0.19715705296173827,-0.19715705296173827,0.19715705296173827,0.19715705296173827,0.0,23,ROTATE
ACH-000668,0.23933438998199463,0.24491472549970958,0.23933438998199463,0.24491472549970958,-0.005580335517714946,29,ROTATE
ACH-000694,-0.23101541746161702,-0.23101541746161702,0.23101541746161702,0.23101541746161702,0.0,22,ROTATE
ACH-000699,0.1397584804089936,0.14099091850783835,0.1397584804089936,0.14099091850783835,-0.0012324380988447403,31,ROTATE
