cell_line,k_dir_true,n_genes_true,k_dir_rot,n_genes_rot,rate_true_raw,rate_rot_raw,rate_true_eb,rate_rot_eb,post_diff_mean,post_diff_lo,post_diff_hi,post_prob_gt0,split_half_rho,n_reps
ACH-000770,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0016333016251580932,-0.009122496393899312,0.002358745802928323,0.1,,
ACH-000771,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0016057666872619347,-0.008695699367346335,0.002179520136947732,0.119,,
ACH-000773,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0017492587388615623,-0.00965624626124508,0.0024155026497760064,0.122,,
ACH-000776,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0018477714054485064,-0.009434666239571963,0.0012680607422133731,0.089,,
ACH-000777,0,150,3,150,0.0,0.02,0.00029840054916293457,0.012795693914113157,-0.012238717161913227,-0.028471135759082628,-0.002580423815012682,0.003,,
ACH-000778,0,150,2,150,0.0,0.013333333333333334,0.00029840054916293457,0.009230466070727653,-0.008606423987990872,-0.02237682615371299,-0.001103663688541141,0.013,,
ACH-000781,0,150,2,150,0.0,0.013333333333333334,0.00029840054916293457,0.009230466070727653,-0.008916760447951609,-0.02274630758399297,-0.0011695135710566753,0.005,,
ACH-000782,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.0052710462437315945,-0.016913384747582017,0.00028678403212573507,0.032,,
ACH-000783,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0019444369317204364,-0.010261274601173077,0.0016549160071448574,0.102,,
ACH-000784,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005518036144485758,-0.017512355754253642,-0.0002532445440513439,0.018,,
ACH-000785,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.001799567110509251,-0.009405526550840324,0.0015545276013702017,0.117,,
ACH-000788,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0018450143263572614,-0.010613540342826053,0.0026245589859589208,0.101,,
ACH-000790,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005173126222527656,-0.017691791066431074,0.0006148658018404594,0.038,,
ACH-000791,1,150,1,150,0.006666666666666667,0.006666666666666667,0.0037485418157616047,0.005665238227342146,-0.0018713766051304123,-0.01468602571041016,0.009284637710540656,0.351,,
ACH-000792,1,150,0,150,0.006666666666666667,0.0,0.0037485418157616047,0.002100010383956642,0.0017753865668233137,-0.006792202254463936,0.011474701712497684,0.708,,
ACH-000793,0,150,3,150,0.0,0.02,0.00029840054916293457,0.012795693914113157,-0.012577803416153261,-0.027939837100744495,-0.0028470494018965433,0.004,,
ACH-000796,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.00172003350064213,-0.008894035290617238,0.0017988714068206048,0.125,,
ACH-000799,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.001652383809429989,-0.00871814016299064,0.0018655662682017637,0.112,,
ACH-000800,1,150,0,150,0.006666666666666667,0.0,0.0037485418157616047,0.002100010383956642,0.001735062531572754,-0.006650612217978054,0.011686685243131843,0.693,,
ACH-000801,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.001963007669296536,-0.009654083664302322,0.002014490776551669,0.108,,
ACH-000802,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0018725830394429805,-0.009466363827848628,0.0021031454386657255,0.113,,
ACH-000804,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.001798676401073396,-0.009613122283385551,0.00171071569963504,0.104,,
ACH-000805,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0018668117054101436,-0.010292501963962048,0.0015310246845578691,0.095,,
ACH-000807,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0018805723001873989,-0.009536656636077358,0.0018844246483870496,0.102,,
ACH-000809,0,150,2,150,0.0,0.013333333333333334,0.00029840054916293457,0.009230466070727653,-0.008902877263253655,-0.022790683287314515,-0.0007822246661963538,0.014,,
ACH-000810,1,150,0,150,0.006666666666666667,0.0,0.0037485418157616047,0.002100010383956642,0.0017999549403413518,-0.00777830347042728,0.012043830550299632,0.7,,
ACH-000811,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005354339185122916,-0.018616623103268743,0.0002063788113051317,0.032,,
