gene,abs_near_true,abs_max_true,near_excess_W,near_excess_A,max_excess_W,max_excess_A,delta_abs_corr_true,deltacorr_excess_W,deltacorr_excess_A,score
RNF170,0.0002439631904929,0.0033016088201675,-0.0014548634618019001,-0.0082183008918087,0.0016027821678727,-0.016264170254702198,-0.0320527535562823,0.003121127316141198,-0.027008850137745902,28688.0
ZNF681,0.0015452193246296,0.0037181103733079,0.00033421263357049985,-0.0094462065485259,-0.0072066958362528005,-0.0072733154998476,-0.0124745988547149,-0.0112856650885171,1.9371404651901195e-05,28663.0
TMEM216,0.0054984905201428,0.0234656635504497,-0.0124595384903526,-0.0080438974845971,0.005507634539954301,0.0099232755457098,-0.0030743546861765,-0.0043091415605434995,0.0016457566857513003,28616.0
EFHB,0.0019614948904467,0.0219666364421954,-0.0016001217858319,-0.0173035408288737,0.0184050197659168,0.002701600722874998,-0.0124914427910385,0.001978655506007799,-0.0121127568421842,28545.0
APOL5,0.0019630813639389,0.0096489492482268,-0.0070078937028963,-0.0106517517458146,0.000677974181391601,-0.0029658838615266997,0.0012166692495274,-0.0170036522175648,0.00024903175793499995,28521.0
TDRD15,0.0202996662888942,0.0338216894374889,-0.039615487696876096,-0.005891788425093799,-0.026093464548281396,0.007630234723500901,-0.0085069874748171,0.0029625369810347014,-0.001566724916061999,28487.0
ATP2C1,0.0005632646987774,0.0100353451094735,-0.0043025276274818,-0.009602483665020301,0.005169552783214301,-0.0001304032543242,-0.03081852763404,0.004579443271419702,0.005060234955849702,28477.0
COX7A1,0.0018601462389436,0.0054128920604833,-0.0027114980694731994,-0.0008089034913413,0.0008412477520665,0.0027438423301983997,-0.0676923575374463,-0.0032908609726565036,0.0035275225712445984,28442.0
PPWD1,0.00281407402117,0.0446341696669233,-0.0059421159262328,-0.0100260441309946,0.030533026611764602,0.0074523697239534045,-0.015827171831526,0.004782245142729603,-0.006550066551244198,28332.0
FBXO16,0.0024096410472953,0.0117067607259547,0.00020873911418220004,-0.0207426268651609,0.0059798004183368,-0.011445507186501502,-0.0090837154045622,-0.0032631619362621005,0.000477691568136299,28306.0
CCK,0.0001103871018427,0.002357857621162,-0.0013834050160464,-0.0076658450330982,0.0006336978812547999,-0.0056024754302351,-0.0268222942830048,0.0038921844815057,-0.0131425782737709,28298.0
DRD1,0.004502660777729,0.0085692799204827,-0.0022477736370263004,-0.0028714177473264007,0.0018188455057273996,0.0011952013954272993,-0.023307916418823,0.004209886949485903,-0.009911817501587698,28275.0
PREPL,4.443691740494165e-05,0.0128561364729696,-0.006383964630392858,-0.017822392274601657,0.0064277349251717995,-0.005010692719036999,-0.0107650770507617,0.0041615844445319,-0.016504960049588402,28250.0
ORAI3,0.0076599058116679,0.0116742961502465,-0.012276516427104,-0.00032677782145130053,-0.0121977930692115,0.003687612517127299,-0.020599450561241,-0.0220389633035118,0.0026832446746034994,28247.0
ARMC9,0.0019439186678146,0.0165433558645611,-0.0199528797077481,-0.0011795613637171998,-0.006637151762080202,0.0134198758330293,-0.0263740006193716,-0.023389077758042602,0.0038814111126600007,28222.0
SLC16A5,0.0085999149882701,0.0151465551718948,-0.0060525119966793,-0.0022753929107841003,0.0004941281869454001,0.0042712472728406,-0.0095870254206706,0.0025964989421310997,0.0019658759515983008,28218.0
RTF2,0.0049311080944031,0.0189777947554467,-0.005507480947309001,-0.004772470688861399,0.0085392057137346,0.009274215972182202,0.001010992764966,0.0007018263699764001,-0.007115536789081,28162.0
CIRSR,0.0040106603571742,0.0280295019104648,-0.008092976175343401,-0.0251971932771722,0.0159258653779472,-0.0335831137873977,0.0050185268302606,8.723582027929996e-05,-0.0031553226930483005,28158.0
CLPTM1L,0.000521625929964,0.0128910188947088,-0.0019718092290901003,-0.006973595314106,0.0103975837356547,-0.006039430484111898,-0.0118122863461432,-0.02280499729284,0.002976762196759101,28154.0
ACP3,0.0016770966508016,0.0187378774828345,-0.021454401447331,-0.009008811323687001,-0.004393620615298098,0.008051969508345901,-0.0141439860994768,-0.0289765943623989,0.005532777589815898,28148.0
CDCP1,0.0021492218737408,0.0102859133683663,-0.002435001982259,-0.0078699382114641,0.0057016895123665,-0.0073290051589842,-0.0022305256111767,0.0010119435427434,-0.0155634540296988,28129.0
GP9,0.0026862952536165,0.0028438589342286,-0.014097636440079598,0.0008365176276082002,-0.013940072759467499,0.0009940813082203002,-0.0127570847673255,-0.023247874583266,0.0007245443787893997,28122.0
HRH1,0.0019971960247219,0.0080635077916735,-0.00217735514166,-0.0015221901453453001,0.0038889566252916005,0.0045441216216063,-0.0027573621151867,-0.0042966784865095,0.0007512955453587,28115.0
